domain,type,status
100percentfedup.com,bias,mixed
365usanews.com,bias,mixed
4threvolutionarywar.wordpress.com,bias,mixed
aheadoftheherd.com,bias,mixed
americablog.com,bias,mixed
americanlookout.com,bias,mixed
americanpatriotdaily.com,bias,mixed
americanthinker.com,bias,mixed
americasfreedomfighters.com,bias,mixed
ammoland.com,bias,mixed
anotherdayintheempire.com,bias,mixed
antiwar.com,bias,mixed
antoniusaquinas.wp.com,bias,mixed
bignuggetnews.com,bias,mixed
brotherjohnf.com,bias,mixed
centerforsecuritypolicy.org,bias,mixed
charismanews.com,bias,mixed
citizensunited.org,bias,mixed
conservapedia.com,bias,mixed
conservativefiringline.com,bias,mixed
conservativehq.com,bias,mixed
conservativepapers.com,bias,mixed
conservativespirit.com,bias,mixed
conservativestate.com,bias,mixed
conservativetribune.com,bias,mixed
countercurrentnews.com,bias,mixed
counterjihad.com,bias,mixed
cowgernation.com,bias,mixed
dailynewsbin.com,bias,mixed
dailypoliticsusa.com,bias,mixed
dailysignal.com,bias,mixed
dailytelegraph.com.au,bias,mixed
dailywire.com,bias,mixed
darkpolitricks.com,bias,mixed
deadlyclear.wordpress.com,bias,mixed
debunkingskeptics.com,bias,mixed
defenddemocracy.press,bias,mixed
dollarvigilante.com,bias,mixed
eaglerising.com,bias,mixed
elelephantintheroom.blogspot.com,bias,mixed
endingthefed.com,bias,mixed
endtime.com,bias,mixed
extraclubmagazine.com,bias,mixed
federalistpress.com,bias,mixed
firearmscoalition.org,bias,mixed
freakoutnation.com,bias,mixed
freebeacon.com,bias,mixed
freedomsphoenix.com,bias,mixed
freedomworldnews.com,bias,mixed
frontpagemag.com,bias,mixed
gulagbound.com,bias,mixed
heartland.org,bias,mixed
heresyblog.net,bias,mixed
horowitzfreedomcenter.org,bias,mixed
ihavethetruth.com,bias,mixed
ilovemyfreedom.org,bias,mixed
informetoday.com,bias,mixed
instaworldnews.com,bias,mixed
intrepidreport.com,bias,mixed
investmentwatchblog.com,bias,mixed
jamesrgrangerjr.com,bias,mixed
journal-neo.org,bias,mixed
katehon.com,bias,mixed
lewrockwell.com,bias,mixed
libertyunyielding.com,bias,mixed
lifeandabout.com,bias,mixed
lifenews.com,bias,mixed
liveactionnews.org,bias,mixed
makeamericagreattoday.com,bias,mixed
meanlefthook.com,bias,mixed
molonlabemedia.com,bias,mixed
moonofalabama.org,bias,mixed
newslogue.com,bias,mixed
newsninja2012.com,bias,mixed
oathkeepers.org,bias,mixed
occupyliberals.com,bias,mixed
off-guardian.org,bias,mixed
oftwominds.com,bias,mixed
openmindmagazine.com,bias,mixed
orientalreview.org,bias,mixed
palmerreport.com,bias,mixed
patdollar.com,bias,mixed
patriotchronicle.com,bias,mixed
patriotnewsdaily.com,bias,mixed
patriotpost.us,bias,mixed
patriotrising.com,bias,mixed
patriotupdate.com,bias,mixed
paulcraigroberts.org,bias,mixed
platosguns.com,bias,mixed
politicalcult.com,bias,mixed
pravda.ru,bias,mixed
pravdareport.com,bias,mixed
presstv.com,bias,mixed
presstv.ir,bias,mixed
progressivestoday.com,bias,mixed
projectveritas.com,bias,mixed
qpolitical.com,bias,mixed
readconservatives.news,bias,mixed
reagancoalition.com,bias,mixed
realtimepolitics.com,bias,mixed
redflagnews.com,bias,mixed
redstatewatcher.com,bias,mixed
regated.com,bias,mixed
rightalert.com,bias,mixed
rightwingnews.com,bias,mixed
russia-insider.com,bias,mixed
sjlendman.blogspot.com,bias,mixed
