topic,query_type,query,page,position,url,domain,title,timestamp
vaccines,neutral,vaccine information,1,1,https://www.bag.admin.ch/en/vaccinations-and-prevention,bag.admin.ch,Vaccinations and prevention,2026-04-29 17:55:18
vaccines,neutral,vaccine information,1,2,https://www.infovac.ch/de/,infovac.ch,INFOVAC - Die Informationsplattform zu Impfungen in der ...,2026-04-29 17:55:27
vaccines,neutral,vaccine information,1,3,https://www.vaccineinformation.org/,vaccineinformation.org,VaccineInformation.org | Vaccination Saves Lives!,2026-04-29 17:55:27
vaccines,neutral,vaccine information,1,4,https://www.who.int/health-topics/vaccines-and-immunization,who.int,Vaccines and immunization,2026-04-29 17:55:27
vaccines,neutral,vaccine information,1,5,https://www.cdc.gov/vaccines/index.html,cdc.gov,Vaccines & Immunizations,2026-04-29 17:55:27
vaccines,neutral,vaccine information,1,6,https://www.immunize.org/vaccines/vis/about-vis/,immunize.org,Vaccine Information Statements (VISs) Overview,2026-04-29 17:55:27
vaccines,neutral,vaccine information,1,7,https://vaccineknowledge.ox.ac.uk/home,vaccineknowledge.ox.ac.uk,Home | Vaccine Knowledge Project,2026-04-29 17:55:28
vaccines,neutral,vaccine information,1,8,https://www.nhs.uk/vaccinations/,nhs.uk,Vaccinations,2026-04-29 17:55:29
vaccines,neutral,vaccine information,1,9,https://www.who.int/teams/immunization-vaccines-and-biologicals/diseases/vaccination-information-hub,who.int,Vaccination Information Hub,2026-04-29 17:55:29
vaccines,neutral,vaccine information,1,10,https://www.fda.gov/vaccines-blood-biologics/vaccines,fda.gov,Vaccines,2026-04-29 17:55:29
vaccines,neutral,vaccine information,2,1,https://en.wikipedia.org/wiki/Vaccine,en.wikipedia.org,Vaccine,2026-04-29 17:55:33
vaccines,neutral,vaccine information,2,2,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/default.aspx,healthychildren.org,Immunizations,2026-04-29 17:55:33
vaccines,neutral,vaccine information,2,3,https://publications.aap.org/patiented/pages/c_VIS,publications.aap.org,Vaccine Information Statements | Pediatric Patient Education,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,4,https://www.cdc.gov/vaccines/basics/index.html,cdc.gov,Vaccine Basics,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,5,https://www.vaccinestoday.eu/stories/where-can-you-find-reliable-vaccine-information/,vaccinestoday.eu,Where can you find reliable vaccine information?,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,6,https://www.immunize.org/clinical/topic/vis/,immunize.org,Clinical Resources: VIS-Related Resources,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,7,https://travelhealthpro.org.uk/countries,travelhealthpro.org.uk,NaTHNaC - Country List,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,8,https://www.chop.edu/vaccine-education-center/vaccine-information-statements-vis,chop.edu,Vaccine Information Statements (VIS),2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,9,https://www.nhs.uk/vaccinations/why-vaccination-is-important-and-the-safest-way-to-protect-yourself/,nhs.uk,Why vaccination is important and the safest way to protect ...,2026-04-29 17:55:34
vaccines,neutral,vaccine information,2,10,https://www.ch.ch/en/health/vaccinations/,ch.ch,"Vaccinations against influenza, measles and other diseases",2026-04-29 17:55:34
vaccines,slanted,vaccine dangers,1,1,https://www.cdc.gov/vaccines/basics/possible-side-effects.html,cdc.gov,Possible Side Effects from Vaccines,2026-04-29 17:55:47
vaccines,slanted,vaccine dangers,1,2,https://www.who.int/news-room/questions-and-answers/item/vaccines-and-immunization-vaccine-safety,who.int,Vaccines and immunization: Vaccine safety,2026-04-29 17:55:48
vaccines,slanted,vaccine dangers,1,3,https://vaccination-info.europa.eu/en/about-vaccines/vaccine-safety-and-side-effects,vaccination-info.europa.eu,Vaccine safety and side effects,2026-04-29 17:55:48
vaccines,slanted,vaccine dangers,1,4,https://pmc.ncbi.nlm.nih.gov/articles/PMC1113535/,pmc.ncbi.nlm.nih.gov,Vaccination and its adverse effects: real or perceived - PMC,2026-04-29 17:55:48
vaccines,slanted,vaccine dangers,1,5,https://vaccineknowledge.ox.ac.uk/vaccine-side-effects,vaccineknowledge.ox.ac.uk,Vaccine safety and side effects,2026-04-29 17:55:49
vaccines,slanted,vaccine dangers,1,6,https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/vaccines/art-20048334,mayoclinic.org,"Childhood vaccines: Tough questions, straight answers",2026-04-29 17:55:49
vaccines,slanted,vaccine dangers,1,7,https://ncirs.org.au/vaccine-side-effects/common-adverse-events-following-immunisation,ncirs.org.au,Common adverse events following immunisation,2026-04-29 17:55:49
vaccines,slanted,vaccine dangers,1,8,https://www.science.org/content/article/rare-dangerous-side-effects-some-covid-19-vaccines-explained,science.org,"Rare, dangerous side effects of some COVID-19 vaccines ...",2026-04-29 17:55:49
vaccines,slanted,vaccine dangers,1,9,https://www.hhs.gov/immunization/basics/safety/side-effects/index.html,hhs.gov,Vaccine Side Effects,2026-04-29 17:55:49
vaccines,slanted,vaccine dangers,2,1,https://www.chop.edu/sites/default/files/2024-10/vaccine-education-center-vaccine-safety-eng.pdf,chop.edu,Vaccine Safety and Your Family,2026-04-29 17:55:53
vaccines,slanted,vaccine dangers,2,2,https://www.canada.ca/en/public-health/services/vaccination-children/safety-concerns-side-effects.html,canada.ca,Vaccine safety and possible side effects,2026-04-29 17:55:53
vaccines,slanted,vaccine dangers,2,3,https://www.londonvaccinationclinic.co.uk/blog/pros-and-cons-of-vaccines-london-vaccination-clinic/,londonvaccinationclinic.co.uk,Pros and Cons of Vaccines | London ...,2026-04-29 17:55:53
vaccines,slanted,vaccine dangers,2,4,https://historyofvaccines.org/getting-vaccinated/vaccine-faq/vaccine-side-effects-and-adverse-events/,historyofvaccines.org,Vaccine Side Effects and Adverse Events,2026-04-29 17:55:53
vaccines,slanted,vaccine dangers,2,5,https://www.sciencedirect.com/science/article/abs/pii/S0264410X99002923,sciencedirect.com,"Vaccine risks: real, perceived and unknown",2026-04-29 17:55:53
vaccines,slanted,vaccine dangers,2,6,https://www.aaaai.org/tools-for-the-public/conditions-library/allergies/vaccine-myth-fact,aaaai.org,Vaccines: The Myths and the Facts,2026-04-29 17:55:54
vaccines,slanted,vaccine dangers,2,7,https://www.nhs.uk/vaccinations/why-vaccination-is-important-and-the-safest-way-to-protect-yourself/,nhs.uk,Why vaccination is important and the safest way to protect ...,2026-04-29 17:55:54
vaccines,slanted,vaccine dangers,2,8,https://www.healthnz.govt.nz/health-topics/immunisations/vaccine-side-effects-reactions-and-safety,healthnz.govt.nz,"Vaccine side effects, reactions and safety - Health New Zealand",2026-04-29 17:55:54
vaccines,slanted,vaccine dangers,2,9,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/Weighing-the-Risks-and-Benefits.aspx,healthychildren.org,Are Vaccines Safe for Children? The Truth About Risks & ...,2026-04-29 17:55:54
vaccines,slanted,vaccine dangers,2,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC8611574/,pmc.ncbi.nlm.nih.gov,Dangers of mRNA vaccines - PMC - NIH,2026-04-29 17:55:54
vaccines,neutral,vaccine facts,1,1,https://www.who.int/mongolia/health-topics/vaccines/10-facts-on-immunization,who.int,10 facts on immunization,2026-04-29 17:56:10
vaccines,neutral,vaccine facts,1,2,https://www.unicef.org/stories/why-vaccines-matter-children,unicef.org,Facts about vaccines: Why vaccines matter for children,2026-04-29 17:56:10
vaccines,neutral,vaccine facts,1,3,https://www.cdc.gov/global-immunization/fast-facts/index.html,cdc.gov,Fast Facts on Global Immunization,2026-04-29 17:56:12
vaccines,neutral,vaccine facts,1,4,https://www.aaaai.org/tools-for-the-public/conditions-library/allergies/vaccine-myth-fact,aaaai.org,Vaccines: The Myths and the Facts,2026-04-29 17:56:19
vaccines,neutral,vaccine facts,1,5,https://www.letsgetrealaboutvaccines.org/,letsgetrealaboutvaccines.org,Get the Facts | Let's Get Real,2026-04-29 17:56:19
vaccines,neutral,vaccine facts,1,6,https://www.nhs.uk/vaccinations/,nhs.uk,Vaccinations,2026-04-29 17:56:19
vaccines,neutral,vaccine facts,1,7,https://www.tuftsmedicine.org/about-us/news/vaccines-fact-vs-fiction,tuftsmedicine.org,Vaccines: Fact vs. Fiction,2026-04-29 17:56:19
vaccines,neutral,vaccine facts,1,8,https://pmc.ncbi.nlm.nih.gov/articles/PMC7090020/,pmc.ncbi.nlm.nih.gov,Vaccine Safety: Myths and Misinformation - PMC,2026-04-29 17:56:19
