topic,query_type,query,page,position,url,domain,title,timestamp,source,wikipedia_page,domains,status,status_raw,summary,reason
vaccines,slanted,vaccine scam,2,9,https://theconversation.com/nabbing-osama-with-a-vaccine-scam-a-threat-to-global-health-7044,theconversation.com,Nabbing Osama with a vaccine scam a threat to global health,2026-05-09 15:44:15,The Conversation,The_Conversation_(website),theconversation.com;2201-5639,reliable,Generally reliable,The Conversationpublishes articles from academics who aresubject-matter experts. It is generally reliable for subjects in the authors'areas of expertise. Opinions published inThe Conversationshould be handled withWP:RSOPINION.,domain theconversation.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccines,slanted,vaccine scam,3,9,https://www.npr.org/2021/07/09/1014512227/thousands-given-fake-vaccines-through-scam-in-india,npr.org,Thousands Given Fake Vaccines Through Scam In India,2026-05-09 15:44:24,NPR(National Public Radio),NPR,npr.org,reliable,Generally reliable,"There is consensus that NPR, an American public service broadcaster, is generally reliable for news and statements of fact. NPR'sopinion piecesshould only be used withattribution.",domain npr.org matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccine_passports,neutral,vaccine passport impact,2,3,https://www.theguardian.com/society/2021/jan/15/covid-vaccine-passports-what-are-they-and-do-they-pose-a-danger-to-privacy,theguardian.com,Vaccine passports: what are they and do they pose a ...,2026-05-09 15:51:58,"The Guardian(TheGuardian.com,The Manchester Guardian,The Guardian Weekly,The Observer)",The_Guardian,0261-3077;1756-3224;theguardian.com,reliable,Generally reliable,There is consensus thatThe Guardianis generally reliable.The Guardian's op-eds should be handled withWP:RSOPINION. Some editors believeThe Guardianisbiased or opinionatedfor politics.See also:The Guardian blogs.Guardian Media soldThe ObservertoTortoise Mediawith effect from 22 April 2025.,domain theguardian.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccine_passports,neutral,vaccine passport impact,3,10,https://www.bbc.com/news/world-europe-56522408,bbc.com,Covid passports: How do they work around the world?,2026-05-09 15:52:08,BBC(British Broadcasting Corporation),BBC,bbc.com,reliable,Generally reliable,"BBC is a Britishpublicly funded broadcaster. It is considered generally reliable. This includesBBC News, BBC documentaries, and the BBC History site (onBBC Online). However, this excludes BBC projects that incorporateuser-generated content(such ash2g2and theBBC Domesday Project) and BBC publications with reduced editorial oversight (such asCollective).Statements of opinionshould conform to the corresponding guideline.",domain bbc.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccine_passports,slanted,immunity passport discrimination,1,9,https://theconversation.com/the-argument-in-favour-of-covid-19-immunity-passports-151627,theconversation.com,The argument in favour of COVID-19 immunity passports,2026-05-09 15:52:24,The Conversation,The_Conversation_(website),theconversation.com;2201-5639,reliable,Generally reliable,The Conversationpublishes articles from academics who aresubject-matter experts. It is generally reliable for subjects in the authors'areas of expertise. Opinions published inThe Conversationshould be handled withWP:RSOPINION.,domain theconversation.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccine_passports,slanted,immunity passport discrimination,2,8,https://theconversation.com/why-covid-19-immunity-passports-may-violate-us-law-138165,theconversation.com,Why COVID-19 immunity passports may violate US law,2026-05-09 15:52:38,The Conversation,The_Conversation_(website),theconversation.com;2201-5639,reliable,Generally reliable,The Conversationpublishes articles from academics who aresubject-matter experts. It is generally reliable for subjects in the authors'areas of expertise. Opinions published inThe Conversationshould be handled withWP:RSOPINION.,domain theconversation.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
vaccine_passports,slanted,immunity passport discrimination,3,1,https://www.washingtonpost.com/outlook/2020/12/15/vaccine-cards-discrimination-immunity-passports/,washingtonpost.com,Proof of vaccination will be very valuable — and easy to ...,2026-05-09 15:52:44,"The Washington Post(The Post,WaPo,TWP)",The_Washington_Post,0190-8286;washingtonpost.com,reliable,Generally reliable,Most editors considerThe Washington Postgenerally reliable. Some editors note thatWP:NEWSBLOGshould be used to evaluate blog posts onThe Washington Post's website.,domain washingtonpost.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
covid19,neutral,coronavirus pandemic origin,2,9,https://www.bbc.com/news/articles/cy8095xjg4po,bbc.com,Genetic ghosts suggest Covid's market origins,2026-05-09 15:58:39,BBC(British Broadcasting Corporation),BBC,bbc.com,reliable,Generally reliable,"BBC is a Britishpublicly funded broadcaster. It is considered generally reliable. This includesBBC News, BBC documentaries, and the BBC History site (onBBC Online). However, this excludes BBC projects that incorporateuser-generated content(such ash2g2and theBBC Domesday Project) and BBC publications with reduced editorial oversight (such asCollective).Statements of opinionshould conform to the corresponding guideline.",domain bbc.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
covid19,neutral,coronavirus pandemic origin,3,6,https://theconversation.com/the-lab-leak-origin-of-covid-19-fact-or-fiction-250462,theconversation.com,The 'lab-leak origin' of Covid-19. Fact or fiction?,2026-05-09 15:58:47,The Conversation,The_Conversation_(website),theconversation.com;2201-5639,reliable,Generally reliable,The Conversationpublishes articles from academics who aresubject-matter experts. It is generally reliable for subjects in the authors'areas of expertise. Opinions published inThe Conversationshould be handled withWP:RSOPINION.,domain theconversation.com matches reliable domain from file raw_wikipedia_perennial_sources.csv
covid19,neutral,coronavirus pandemic origin,3,7,https://www.pbs.org/newshour/tag/wuhan,pbs.org,wuhan | PBS News,2026-05-09 15:58:48,PBS(Public Broadcasting Service),PBS,pbs.org,reliable,Generally reliable,ThePublic Broadcasting Serviceis an American public broadcaster. It is considered generally reliable by editors.,domain pbs.org matches reliable domain from file raw_wikipedia_perennial_sources.csv
