topic,query_type,query,page,position,url,domain,title,timestamp,reason
vaccine_passports,neutral,vaccine passport impact,2,3,https://www.theguardian.com/society/2021/jan/15/covid-vaccine-passports-what-are-they-and-do-they-pose-a-danger-to-privacy,theguardian.com,Vaccine passports: what are they and do they pose a ...,2026-05-09 15:51:58,domain theguardian.com has conflicting statuses in Wikipedia
covid19,slanted,coronavirus lab leak theory,1,5,https://www.theguardian.com/commentisfree/2025/jun/25/covid-lab-leak-theory-right-conspiracy-science,theguardian.com,The Covid 'lab leak' theory isn't just a rightwing conspiracy,2026-05-09 15:59:00,domain theguardian.com has conflicting statuses in Wikipedia
covid19,slanted,face masks health risks,1,6,https://www.theguardian.com/environment/2025/sep/08/disposable-face-masks-covid-chemical-timebomb,theguardian.com,Disposable face masks used during Covid have left ...,2026-05-09 16:00:34,domain theguardian.com has conflicting statuses in Wikipedia
covid19,slanted,lockdown harms,1,10,https://www.theguardian.com/world/2022/jan/02/britain-got-it-wrong-on-covid-long-lockdown-did-more-harm-than-good-says-scientist,theguardian.com,Britain got it wrong on Covid: long lockdown did more harm ...,2026-05-09 16:01:56,domain theguardian.com has conflicting statuses in Wikipedia
covid19,slanted,lockdown harms,2,6,https://www.telegraph.co.uk/global-health/science-and-disease/how-covid-damaged-every-generation-from-babies-to-pensioner/,telegraph.co.uk,"How Covid destroyed our lives, from newborns to pensioners",2026-05-09 16:02:05,domain telegraph.co.uk has conflicting statuses in Wikipedia
climate_change,slanted,climate change hoax,3,7,https://www.theguardian.com/science/brain-flapping/2014/nov/25/climate-change-is-an-obvious-myth-how-much-more-evidence-do-you-need,theguardian.com,Climate change is an obvious myth – how much more ...,2026-05-09 16:03:58,domain theguardian.com has conflicting statuses in Wikipedia
climate_change,slanted,global warming myth,2,2,https://www.theguardian.com/science/brain-flapping/2014/nov/25/climate-change-is-an-obvious-myth-how-much-more-evidence-do-you-need,theguardian.com,Climate change is an obvious myth – how much more ...,2026-05-09 16:05:34,domain theguardian.com has conflicting statuses in Wikipedia
climate_change,neutral,sea level rise research,3,5,https://www.theguardian.com/environment/2026/mar/04/global-sea-levels-underestimated-poor-modelling-research,theguardian.com,Global sea levels have been underestimated due to poor ...,2026-05-09 16:06:57,domain theguardian.com has conflicting statuses in Wikipedia
climate_change,slanted,sea level rise exaggerated,1,6,https://nypost.com/2025/09/07/opinion/rising-sea-hysteria-debunked-but-the-climate-change-cult-wont-care/,nypost.com,Rising-sea hysteria debunked — but the 'climate change ...,2026-05-09 16:07:16,domain nypost.com has conflicting statuses in Wikipedia
climate_change,slanted,sea level rise exaggerated,2,8,https://www.theguardian.com/environment/2016/may/10/headlines-exaggerated-climate-link-to-sinking-of-pacific-islands,theguardian.com,Headlines 'exaggerated' climate link to sinking of Pacific ...,2026-05-09 16:07:27,domain theguardian.com has conflicting statuses in Wikipedia
climate_change,slanted,carbon emissions scam,1,3,https://www.theguardian.com/news/article/2024/jun/04/the-warring-conmen-at-the-heart-of-a-5bn-carbon-credit-scam,theguardian.com,The warring conmen at the heart of a €5bn carbon trading ...,2026-05-09 16:08:41,domain theguardian.com has conflicting statuses in Wikipedia
climate_change,slanted,renewable energy failures,1,1,https://www.theguardian.com/environment/2026/mar/23/europe-clean-energy-gains-failure-phase-out-fuel-burning,theguardian.com,Europe's 'staggering' clean power gains undermined by ...,2026-05-09 16:10:07,domain theguardian.com has conflicting statuses in Wikipedia
nuclear_power,neutral,nuclear waste management,3,7,https://www.telegraph.co.uk/business/2026/05/03/britain-creating-mountain-nuclear-waste-doesnt-know/,telegraph.co.uk,Britain is creating a mountain of nuclear waste it doesn't ...,2026-05-09 16:25:43,domain telegraph.co.uk has conflicting statuses in Wikipedia
nuclear_waste,slanted,nuclear waste leaks,1,6,https://www.theguardian.com/environment/2025/aug/09/radioactive-water-bomb-base-scotland-leak-sea-files,theguardian.com,Radioactive water from UK nuclear bomb base leaked into ...,2026-05-09 16:31:55,domain theguardian.com has conflicting statuses in Wikipedia
artificial_sweeteners,slanted,aspartame dangers,3,1,https://www.theguardian.com/us-news/article/2024/jun/12/aspartame-health-effects-risks,theguardian.com,Is aspartame bad for you? What we know about the ...,2026-05-09 16:42:45,domain theguardian.com has conflicting statuses in Wikipedia
artificial_sweeteners,slanted,diet soda cancer risk,3,8,https://www.theguardian.com/australia-news/commentisfree/2023/jul/06/does-diet-coke-cause-cancer-aspartame,theguardian.com,Should you kick your Diet Coke habit? As a public health ...,2026-05-09 16:50:23,domain theguardian.com has conflicting statuses in Wikipedia
electromagnetic_fields,slanted,power lines cancer,3,6,https://www.theguardian.com/society/2005/jun/03/medicineandhealth.cancercare,theguardian.com,Q&A: power lines and cancer | Society,2026-05-09 16:53:30,domain theguardian.com has conflicting statuses in Wikipedia
electromagnetic_fields,neutral,cell phone radiation safety,3,2,https://www.cnet.com/tech/mobile/cell-phone-radiation-a-self-defense-guide-faq/,cnet.com,Cell phone radiation: A self-defense guide (FAQ),2026-05-09 16:54:18,domain cnet.com has conflicting statuses in Wikipedia
electromagnetic_fields,slanted,cell phone radiation brain tumors,3,6,https://www.theguardian.com/science/article/2024/sep/04/mobile-phones-not-linked-to-brain-cancer-biggest-study-to-date-finds,theguardian.com,"Mobile phones not linked to brain cancer, biggest study ...",2026-05-09 16:55:09,domain theguardian.com has conflicting statuses in Wikipedia
essential_oils,neutral,tea tree oil safety,3,1,https://www.theguardian.com/science/2007/feb/18/medicineandhealth.health,theguardian.com,Tea tree oil faces ban over health fear | Science,2026-05-09 17:00:27,domain theguardian.com has conflicting statuses in Wikipedia
coal,slanted,coal pollution deaths,1,6,https://www.theguardian.com/environment/2023/nov/23/coal-power-plants-deaths-pollution,theguardian.com,US coal power plants killed at least ...,2026-05-09 17:26:46,domain theguardian.com has conflicting statuses in Wikipedia
coal,neutral,coal ash disposal safety,2,7,https://www.theguardian.com/us-news/2026/apr/09/epa-toxic-coal-ash-rollback-trump,theguardian.com,US agency proposes rolling back rules for safe disposal ...,2026-05-09 17:30:05,domain theguardian.com has conflicting statuses in Wikipedia
coal,slanted,coal ash toxic waste,1,9,https://www.theguardian.com/us-news/2026/apr/09/epa-toxic-coal-ash-rollback-trump,theguardian.com,US agency proposes rolling back rules for safe disposal ...,2026-05-09 17:30:48,domain theguardian.com has conflicting statuses in Wikipedia
