topic,query_type,query,page,position,url,domain,title,timestamp
vaccines,neutral,vaccine information,1,1,https://www.vaccineinformation.org/,vaccineinformation.org,VaccineInformation.org | Vaccination Saves Lives!,2026-05-09 15:39:14
vaccines,neutral,vaccine information,1,2,https://www.bag.admin.ch/en/vaccinations-and-prevention,bag.admin.ch,Vaccinations and prevention,2026-05-09 15:39:14
vaccines,neutral,vaccine information,1,3,https://www.infovac.ch/de/,infovac.ch,INFOVAC - Die Informationsplattform zu Impfungen in der ...,2026-05-09 15:39:14
vaccines,neutral,vaccine information,1,4,https://www.immunize.org/vaccines/vis/about-vis/,immunize.org,Vaccine Information Statements (VISs) Overview,2026-05-09 15:39:15
vaccines,neutral,vaccine information,1,7,https://www.infovac.ch/fr/,infovac.ch,INFOVAC - Information sur les vaccins et les vaccinations en ...,2026-05-09 15:39:18
vaccines,neutral,vaccine information,1,9,https://vaccination-info.europa.eu/en,vaccination-info.europa.eu,European Vaccination Information Portal / Home page ...,2026-05-09 15:39:19
vaccines,neutral,vaccine information,1,10,https://vaccineknowledge.ox.ac.uk/home,vaccineknowledge.ox.ac.uk,Home | Vaccine Knowledge Project,2026-05-09 15:39:19
vaccines,neutral,vaccine information,2,1,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/default.aspx,healthychildren.org,Immunizations,2026-05-09 15:40:56
vaccines,neutral,vaccine information,2,3,https://www.gavi.org/,gavi.org,"Gavi, the Vaccine Alliance",2026-05-09 15:40:57
vaccines,neutral,vaccine information,2,6,https://publications.aap.org/patiented/pages/c_VIS,publications.aap.org,Vaccine Information Statements | Pediatric Patient Education,2026-05-09 15:40:57
vaccines,neutral,vaccine information,2,7,https://www.vaccinestoday.eu/stories/ema-steps-up-vaccine-information-efforts/,vaccinestoday.eu,EMA steps up vaccine information efforts,2026-05-09 15:40:58
vaccines,neutral,vaccine information,2,8,https://vaccination-info-service.fr/,vaccination-info-service.fr,Vaccination Info Service: Accueil,2026-05-09 15:40:58
vaccines,neutral,vaccine information,2,10,https://www.immunize.org/clinical/topic/vis/,immunize.org,Clinical Resources: VIS-Related Resources,2026-05-09 15:40:59
vaccines,neutral,vaccine information,3,2,https://www.ch.ch/en/health/vaccinations/,ch.ch,"Vaccinations against influenza, measles and other diseases",2026-05-09 15:41:05
vaccines,neutral,vaccine information,3,3,https://www.vaccineinformation.org/vaccine-basics/,vaccineinformation.org,Vaccine Basics | Vaccine Information,2026-05-09 15:41:06
vaccines,neutral,vaccine information,3,4,https://www.pfizer.com/science/focus-areas/vaccines,pfizer.com,Vaccines: Using Natural Immunity,2026-05-09 15:41:06
vaccines,neutral,vaccine information,3,6,https://www.css.ch/en/private-customers/my-health/advice/pharmacies-medication/vaccination.html,css.ch,Vaccination: what CSS pays and recommends,2026-05-09 15:41:06
vaccines,neutral,vaccine information,3,8,https://travelhealthpro.org.uk/,travelhealthpro.org.uk,NaTHNaC - Home,2026-05-09 15:41:08
vaccines,neutral,vaccine information,3,9,https://www.vaccinesheets.com/all,vaccinesheets.com,All | Vaccine Sheets,2026-05-09 15:41:08
vaccines,neutral,vaccine information,3,10,https://www.bag.admin.ch/en/covid-19-en,bag.admin.ch,COVID-19,2026-05-09 15:41:08
vaccines,slanted,vaccine dangers,1,4,https://vaccination-info.europa.eu/en/about-vaccines/vaccine-safety-and-side-effects,vaccination-info.europa.eu,Vaccine safety and side effects,2026-05-09 15:41:30
vaccines,slanted,vaccine dangers,1,6,https://ncirs.org.au/vaccine-safety/vaccine-side-effects,ncirs.org.au,Vaccine side effects,2026-05-09 15:41:31
vaccines,slanted,vaccine dangers,1,7,https://science.org.au/our-focus/science-everyone/science-immunisation/4-are-vaccines-safe,science.org.au,4. Are vaccines safe?,2026-05-09 15:41:32
vaccines,slanted,vaccine dangers,1,8,https://vaccineknowledge.ox.ac.uk/vaccine-side-effects,vaccineknowledge.ox.ac.uk,Vaccine safety and side effects,2026-05-09 15:41:33
vaccines,slanted,vaccine dangers,2,2,https://www.unicef.org/indonesia/parenting-village/health/stories/7-consequences-and-risks-not-getting-your-child-routinely-vaccinated,unicef.org,7 consequences and risks of not getting your child routinely ...,2026-05-09 15:41:40
vaccines,slanted,vaccine dangers,2,6,https://www.healthnz.govt.nz/health-topics/immunisations/vaccine-side-effects-reactions-and-safety,healthnz.govt.nz,"Vaccine side effects, reactions and safety - Health New Zealand",2026-05-09 15:41:41
vaccines,slanted,vaccine dangers,2,7,https://www.londonvaccinationclinic.co.uk/blog/pros-and-cons-of-vaccines-london-vaccination-clinic/,londonvaccinationclinic.co.uk,Pros and Cons of Vaccines | London ...,2026-05-09 15:41:42
vaccines,slanted,vaccine dangers,3,1,https://www.aaaai.org/tools-for-the-public/conditions-library/allergies/vaccine-myth-fact,aaaai.org,Vaccines: The Myths and the Facts,2026-05-09 15:41:49
vaccines,slanted,vaccine dangers,3,2,https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/Weighing-the-Risks-and-Benefits.aspx,healthychildren.org,Are Vaccines Safe for Children? The Truth About Risks & ...,2026-05-09 15:41:49
vaccines,slanted,vaccine dangers,3,3,https://www.fhi.no/en/va/bivirkninger/vaccines-and-vaccine-side-effects/,fhi.no,Vaccines and vaccine side effects - NIPH,2026-05-09 15:41:50
vaccines,slanted,vaccine dangers,3,5,https://www.pfizerforall.com/vaccines/education/vaccine-side-effects,pfizerforall.com,What to Know About Vaccine Side Effects,2026-05-09 15:41:50
vaccines,slanted,vaccine dangers,3,7,https://caringforkids.cps.ca/handouts/immunization/when-parents-choose-not-to-vaccinate-risks-and-responsibilities,caringforkids.cps.ca,When parents choose not to vaccinate: Risks and ...,2026-05-09 15:41:51
vaccines,slanted,vaccine dangers,3,9,https://historyofvaccines.org/getting-vaccinated/vaccine-faq/vaccine-side-effects-and-adverse-events/,historyofvaccines.org,Vaccine Side Effects and Adverse Events,2026-05-09 15:41:52
vaccines,neutral,vaccine facts,1,2,https://www.unicef.org/stories/why-vaccines-matter-children,unicef.org,Facts about vaccines: Why vaccines matter for children,2026-05-09 15:42:10
vaccines,neutral,vaccine facts,1,4,https://www.aaaai.org/tools-for-the-public/conditions-library/allergies/vaccine-myth-fact,aaaai.org,Vaccines: The Myths and the Facts,2026-05-09 15:43:26
