domain,domain_count,urls
cyber.gc.ca,7,https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017;https://www.cyber.gc.ca/sites/default/files/cyber/publications/ITSE.00.017.pdf;https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017;https://www.cyber.gc.ca/sites/default/files/cyber/publications/ITSE.00.017.pdf;https://www.cyber.gc.ca/en/guidance/using-encryption-keep-your-sensitive-data-secure-itsap40016;https://www.cyber.gc.ca/en/guidance/using-encryption-keep-your-sensitive-data-secure-itsap40016;https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017
worldwildlife.org,7,https://www.worldwildlife.org/our-work/sustainability/plastics/;https://www.worldwildlife.org/our-work/forests/deforestation-and-forest-degradation/;https://www.worldwildlife.org/our-work/forests/deforestation-and-forest-degradation/;https://www.worldwildlife.org/resources/facts/endangered-species-threatened-by-unsustainable-palm-oil-production/;https://www.worldwildlife.org/our-work/forests/deforestation-and-forest-degradation/stopping-illegal-logging/;https://www.worldwildlife.org/our-work/oceans/sustainable-seafood/wild-caught-seafood/overfishing/;https://www.worldwildlife.org/our-work/oceans/sustainable-seafood/wild-caught-seafood/bycatch/
rivm.nl,7,https://www.rivm.nl/en/coronavirus-covid-19/vaccination/efficacy-protection;https://www.rivm.nl/en/coronavirus-covid-19/vaccination/side-effects;https://www.rivm.nl/en/electromagnetic-fields/emf-dailylife;https://www.rivm.nl/bibliotheek/rapporten/2016-0023.pdf;https://www.rivm.nl/bibliotheek/rapporten/2016-0023.pdf;https://www.rivm.nl/en/salmonella;https://www.rivm.nl/en/soil-and-water/drinking-water
brownhealth.org,7,https://www.brownhealth.org/be-well/truth-about-bariatric-surgery-10-myths-and-facts;https://www.brownhealth.org/be-well/raw-milk-101-benefits-risks-and-what-consider;https://www.brownhealth.org/be-well/raw-milk-101-benefits-risks-and-what-consider;https://www.brownhealth.org/be-well/raw-milk-101-benefits-risks-and-what-consider;https://www.brownhealth.org/be-well/raw-milk-101-benefits-risks-and-what-consider;https://www.brownhealth.org/be-well/raw-milk-101-benefits-risks-and-what-consider;https://www.brownhealth.org/be-well/how-much-sodium-day-do-you-need
news.mongabay.com,7,https://news.mongabay.com/2025/10/radioactive-leak-in-banten-exposes-workers-to-danger-reveals-regulatory-failures/;https://news.mongabay.com/2025/06/bitcoin-boom-comes-with-huge-intensifying-environmental-footprint/;https://news.mongabay.com/2025/06/bitcoin-boom-comes-with-huge-intensifying-environmental-footprint/;https://news.mongabay.com/2026/01/indonesias-illegal-gold-boom-leaves-a-toxic-legacy-of-mercury-pollution/;https://news.mongabay.com/2026/05/deforestation-and-warming-could-push-amazon-to-tipping-point-by-2040s-study/;https://news.mongabay.com/short-article/global-fisheries-must-change-to-avoid-ocean-collapse-study-says/;https://news.mongabay.com/2022/01/for-species-on-the-very-brink-of-extinction-cloning-is-a-loaded-last-resort/
privacyinternational.org,7,http://privacyinternational.org/examples/immunity-passport;https://privacyinternational.org/examples/immunity-passport?page=1;https://privacyinternational.org/examples/immunity-passport?page=1;http://privacyinternational.org/learn/health-data;http://privacyinternational.org/learn/facial-recognition;http://privacyinternational.org/learn/mass-surveillance;http://privacyinternational.org/long-read/4000/10-threats-migrants-and-refugees
kaspersky.com,7,https://www.kaspersky.com/resource-center/threats/5g-pros-and-cons;https://www.kaspersky.com/resource-center/definitions/what-is-blockchain-security;https://www.kaspersky.com/resource-center/definitions/cryptocurrency-scams;https://www.kaspersky.com/resource-center/definitions/data-breach;https://www.kaspersky.com/resource-center/threats/ransomware-attacks-and-types;https://www.kaspersky.com/resource-center/definitions/social-media-privacy;https://www.kaspersky.com/blog/quantum-cryptography-2024-hype/52884/
ipcc.ch,7,https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_SPM.pdf;https://www.ipcc.ch/reports/;https://www.ipcc.ch/sr15/;https://www.ipcc.ch/climate-change-in-data;https://www.ipcc.ch/srocc/chapter/chapter-4-sea-level-rise-and-implications-for-low-lying-islands-coasts-and-communities/;https://www.ipcc.ch/site/assets/uploads/2018/03/srccs_wholereport-1.pdf;https://www.ipcc.ch/srccl/?s=deforestation
wwf.org.uk,7,https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change;https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change;https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change;https://www.wwf.org.uk/learn/environment/plastic-pollution;https://www.wwf.org.uk/updates/8-things-know-about-palm-oil;https://www.wwf.org.uk/what-we-do/addressing-unsustainable-fishing-and-seafood;https://www.wwf.org.uk/what-we-do/addressing-unsustainable-fishing-and-seafood
uvahealth.com,6,https://www.uvahealth.com/healthy-balance/raw-milk-hype-vs-reality/;https://www.uvahealth.com/healthy-balance/raw-milk-hype-vs-reality/;https://www.uvahealth.com/healthy-balance/raw-milk-hype-vs-reality/;https://www.uvahealth.com/healthy-balance/raw-milk-hype-vs-reality/;https://www.uvahealth.com/healthy-balance/energy-drink-dangers/;https://www.uvahealth.com/healthy-balance/heart-health-trends-red-wine
